Time,TopLeft,TopRight,BottomRight
0:00:00,0.886,0.810,0.820
0:00:09,0.826,0.807,0.818
0:00:19,0.813,0.806,0.817
0:00:32,0.807,0.805,0.816
0:01:02,0.803,0.805,0.816
0:01:32,0.802,0.805,0.816
0:02:02,0.802,0.805,0.815
0:02:32,0.801,0.805,0.815
0:03:02,0.800,0.805,0.815
0:03:32,0.799,0.806,0.815
0:04:02,0.799,0.806,0.815
0:04:32,0.798,0.806,0.815
0:05:02,0.798,0.806,0.815
0:05:32,0.797,0.806,0.815
0:06:02,0.796,0.806,0.815
0:06:32,0.796,0.806,0.815
0:07:02,0.795,0.803,0.810
0:07:32,0.795,0.805,0.810
0:08:02,0.794,0.806,0.810
0:08:32,0.794,0.806,0.809
0:09:02,0.794,0.805,0.809
0:09:32,0.785,0.805,0.809
0:10:02,0.789,0.805,0.808
0:10:32,0.790,0.804,0.808
0:11:02,0.790,0.804,0.808
0:11:32,0.791,0.803,0.808
0:12:02,0.791,0.803,0.808
0:12:32,0.791,0.802,0.807
0:13:02,0.790,0.801,0.806
0:13:32,0.790,0.799,0.806
0:14:02,0.790,0.798,0.805
0:14:32,0.789,0.797,0.804
0:15:32,0.789,0.795,0.803
0:16:32,0.788,0.794,0.803
0:17:32,0.787,0.792,0.802
0:18:32,0.786,0.789,0.801
0:19:32,0.785,0.785,0.799
0:20:32,0.783,0.782,0.798
0:21:32,0.782,0.779,0.796
0:22:32,0.781,0.776,0.795
0:24:32,0.779,0.773,0.793
0:26:32,0.777,0.770,0.792
0:28:32,0.775,0.767,0.790
0:30:32,0.772,0.765,0.789
0:32:32,0.770,0.763,0.782
0:34:32,0.768,0.761,0.781
0:36:32,0.765,0.759,0.781
0:38:32,0.763,0.756,0.781
0:40:32,0.760,0.754,0.780
0:42:32,0.757,0.751,0.780
0:44:32,0.754,0.749,0.779
0:46:32,0.752,0.747,0.778
0:48:32,0.749,0.745,0.777
0:50:32,0.747,0.743,0.775
0:52:32,0.744,0.741,0.775
0:54:32,0.741,0.740,0.773
0:56:32,0.738,0.738,0.772
0:58:32,0.735,0.736,0.770
1:00:32,0.732,0.735,0.768
1:02:32,0.729,0.733,0.767
1:04:32,0.725,0.731,0.765
1:06:32,0.722,0.730,0.763
1:08:32,0.719,0.729,0.761
1:10:32,0.716,0.727,0.759
1:12:32,0.713,0.726,0.757
1:14:32,0.710,0.725,0.755
1:16:32,0.708,0.723,0.754
1:18:32,0.705,0.722,0.752
1:20:32,0.703,0.721,0.750
1:22:32,0.700,0.719,0.748
1:24:32,0.698,0.718,0.746
1:26:32,0.696,0.717,0.744
1:28:32,0.695,0.715,0.743
1:30:32,0.693,0.714,0.741
1:32:32,0.691,0.713,0.739
1:34:32,0.690,0.712,0.738
1:36:32,0.688,0.711,0.736
1:38:32,0.687,0.710,0.734
1:40:32,0.686,0.708,0.731
1:42:32,0.685,0.707,0.730
1:44:32,0.684,0.707,0.730
1:46:32,0.683,0.706,0.728
1:48:32,0.682,0.705,0.727
1:50:32,0.681,0.704,0.725
1:52:32,0.680,0.704,0.724
1:54:32,0.680,0.704,0.722
1:56:32,0.680,0.703,0.721
1:58:32,0.680,0.705,0.719
2:00:32,0.680,0.706,0.718
2:02:32,0.679,0.704,0.716
2:04:32,0.680,0.703,0.715
2:06:32,0.680,0.702,0.714
2:08:32,0.681,,
2:10:32,0.680,,
2:12:32,0.680,,
2:14:32,0.680,,
2:15:54,0.679,,
