Time,Top Left,Top Right,Bottom Right
0:01:00,0.714,0.708,0.795
0:02:00,0.698,0.701,0.793
0:03:00,0.694,0.699,0.785
0:04:00,0.688,0.134,0.779
0:05:00,0.710,0.749,0.771
0:06:00,0.703,0.743,0.764
0:07:00,0.702,0.743,0.757
0:08:00,0.702,0.743,0.755
0:09:00,0.701,0.742,0.753
0:10:00,0.700,0.741,0.752
0:11:00,0.699,0.74,0.751
0:12:00,0.697,0.738,0.749
0:13:00,0.697,0.736,0.748
0:14:00,0.694,0.734,0.747
0:15:00,0.693,0.732,0.745
0:16:00,0.691,0.73,0.743
0:17:00,0.689,0.727,0.741
0:18:00,0.687,0.725,0.739
0:20:00,0.684,0.719,0.735
0:22:00,0.681,0.714,0.732
0:24:00,0.678,0.709,0.729
0:26:00,0.675,0.704,0.726
0:28:00,0.672,0.7,0.722
0:30:00,0.669,0.696,0.717
0:32:00,0.667,0.692,0.713
0:34:00,0.665,0.689,0.71
0:36:00,0.663,0.689,0.706
0:38:00,0.661,0.684,0.703
0:40:00,0.658,0.682,0.699
0:42:00,0.658,0.68,0.697
0:44:00,0.657,0.678,0.694
0:46:00,0.656,0.677,0.691
0:48:00,0.654,0.676,0.69
0:50:00,0.653,0.674,0.688
0:52:00,0.653,0.673,0.686
0:54:00,0.652,0.672,0.683
0:56:00,0.651,0.67,0.683
0:58:00,0.650,0.669,0.681
1:00:00,0.649,0.668,0.679
1:02:00,0.649,0.667,0.677
1:04:00,0.649,0.666,0.674
1:06:00,0.648,0.664,0.673
1:08:00,0.647,0.664,0.673
1:10:00,0.646,0.662,0.672
1:12:00,0.647,0.662,0.67
1:14:00,0.646,0.661,0.67
1:16:00,0.645,0.661,0.669
1:18:00,0.644,0.66,0.668
1:20:00,0.644,0.659,0.666
1:22:00,0.644,0.658,0.665
1:24:00,0.642,0.657,0.663
1:26:00,0.643,0.656,0.662
1:28:00,0.642,0.656,0.661
1:30:00,0.642,0.655,0.661
1:32:00,0.642,0.654,0.66
1:34:00,0.643,0.653,0.659
1:36:00,0.642,0.653,0.658
1:38:00,0.642,0.652,0.657
1:40:00,0.643,0.651,0.656
1:42:00,0.643,0.652,0.655
1:44:00,0.643,0.651,0.654
1:46:00,0.644,0.65,0.653
1:48:00,0.644,0.65,0.653
1:50:00,0.645,0.649,0.652
1:52:00,0.646,0.65,0.652
1:54:00,0.646,0.65,0.651
1:56:00,0.648,0.65,0.65
1:58:00,0.648,0.649,0.649
